<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20191202,110000,258.4500000,261.7500000,258.0500000,261.1100000,16708830
GAZP,60,20191202,120000,261.1100000,262.9800000,260.2200000,262.0000000,8846050
GAZP,60,20191202,130000,261.9600000,263.4000000,260.7900000,261.2500000,7567560
GAZP,60,20191202,140000,261.2400000,261.3100000,259.5400000,260.4200000,5663960
GAZP,60,20191202,150000,260.4300000,260.7500000,259.7000000,260.6100000,3760410
GAZP,60,20191202,160000,260.6100000,260.9000000,259.0000000,259.6700000,3051110
GAZP,60,20191202,170000,259.6400000,259.6700000,257.7500000,258.5000000,4951470
GAZP,60,20191202,180000,258.5000000,258.7000000,255.4300000,255.5500000,7904750
GAZP,60,20191202,190000,255.6300000,256.3700000,254.0500000,254.0500000,11669830
GAZP,60,20191203,110000,253.2000000,253.9700000,251.6000000,252.2200000,9959380
GAZP,60,20191203,120000,252.2200000,253.2200000,250.5800000,252.7200000,11130660
GAZP,60,20191203,130000,252.7200000,253.6900000,252.2100000,253.0300000,9781260
GAZP,60,20191203,140000,253.0600000,254.1400000,252.9500000,253.2600000,6433810
GAZP,60,20191203,150000,253.2600000,253.5100000,252.2100000,252.4800000,2752940
GAZP,60,20191203,160000,252.5100000,253.0500000,251.1500000,251.4000000,4070190
GAZP,60,20191203,170000,251.3700000,252.1600000,249.4000000,249.6200000,7661830
GAZP,60,20191203,180000,249.6200000,249.8400000,247.0900000,248.6000000,14815880
GAZP,60,20191203,190000,248.6000000,249.1000000,247.5000000,247.9300000,8661120
GAZP,60,20191204,110000,248.5000000,250.3000000,246.4000000,249.7600000,13388020
GAZP,60,20191204,120000,249.7600000,250.2500000,248.3100000,248.5500000,5895880
GAZP,60,20191204,130000,248.5600000,249.5000000,248.0500000,249.1200000,3936700
GAZP,60,20191204,140000,249.1800000,249.1800000,248.1100000,248.3100000,3077840
GAZP,60,20191204,150000,248.4000000,251.4200000,248.3400000,251.2800000,7265870
GAZP,60,20191204,160000,251.2800000,251.9600000,250.6100000,251.4400000,5243010
GAZP,60,20191204,170000,251.4600000,251.5400000,249.2900000,249.6300000,6466740
GAZP,60,20191204,180000,249.5800000,250.9600000,249.4100000,249.7700000,5512070
GAZP,60,20191204,190000,249.7700000,249.9900000,248.8800000,248.9300000,8473070
GAZP,60,20191205,110000,249.5000000,250.3000000,248.8200000,249.2400000,4153420
GAZP,60,20191205,120000,249.2400000,249.8000000,247.2000000,247.7500000,7299530
GAZP,60,20191205,130000,247.7100000,248.1600000,246.3000000,246.5000000,8643040
GAZP,60,20191205,140000,246.5000000,246.5800000,245.7300000,246.0900000,9446480
GAZP,60,20191205,150000,246.1000000,247.1800000,245.8200000,246.5500000,5890200
GAZP,60,20191205,160000,246.5100000,246.9900000,245.8700000,246.0500000,3481150
GAZP,60,20191205,170000,246.0300000,246.2900000,245.5000000,245.7800000,7112290
GAZP,60,20191205,180000,245.7700000,246.4700000,245.5000000,245.7600000,5457050
GAZP,60,20191205,190000,245.7700000,246.7700000,244.7700000,246.3600000,10190660
GAZP,60,20191206,110000,246.5000000,248.2500000,245.8300000,248.0100000,6978670
GAZP,60,20191206,120000,248.0100000,248.2000000,245.5500000,246.2700000,5056610
GAZP,60,20191206,130000,246.3000000,246.5200000,245.3900000,245.6600000,5313870
GAZP,60,20191206,140000,245.6800000,246.3600000,245.5600000,245.8000000,2875820
GAZP,60,20191206,150000,245.7500000,247.7900000,245.5000000,246.7200000,4743950
GAZP,60,20191206,160000,246.7200000,247.6700000,246.1500000,247.3500000,3324130
GAZP,60,20191206,170000,247.3500000,247.6600000,246.5000000,246.8600000,2888380
GAZP,60,20191206,180000,246.9000000,247.9900000,246.4100000,247.6000000,7003680
GAZP,60,20191206,190000,247.6200000,247.9900000,247.2400000,247.8300000,6648710
GAZP,60,20191209,110000,247.9800000,250.2000000,247.4000000,250.1900000,8013910
GAZP,60,20191209,120000,250.1900000,250.2200000,247.5700000,247.9700000,4597960
GAZP,60,20191209,130000,247.9700000,249.2800000,247.8200000,248.9600000,2566730
GAZP,60,20191209,140000,248.9300000,249.0000000,248.0000000,248.4200000,2477330
GAZP,60,20191209,150000,248.4400000,248.5700000,247.8300000,248.2700000,1651000
GAZP,60,20191209,160000,248.2900000,248.6700000,248.0000000,248.4700000,1684290
GAZP,60,20191209,170000,248.4700000,249.2300000,248.4500000,248.7000000,2970710
GAZP,60,20191209,180000,248.6900000,248.9700000,248.4000000,248.5200000,3113940
GAZP,60,20191209,190000,248.5100000,248.7700000,248.2100000,248.7000000,5304670
GAZP,60,20191210,110000,248.9000000,250.1500000,248.0500000,249.5900000,5125970
GAZP,60,20191210,120000,249.5500000,249.6400000,248.1200000,248.2600000,4890020
GAZP,60,20191210,130000,248.2600000,248.4800000,246.5000000,247.4000000,6287150
GAZP,60,20191210,140000,247.4000000,248.4600000,247.3300000,247.6600000,3234860
GAZP,60,20191210,150000,247.6600000,247.7400000,246.7000000,247.1200000,2320640
GAZP,60,20191210,160000,247.1200000,247.5000000,246.9700000,247.2400000,1991190
GAZP,60,20191210,170000,247.2400000,248.3000000,247.1000000,247.6300000,2940960
GAZP,60,20191210,180000,247.6300000,248.0300000,246.6100000,246.9500000,4110540
GAZP,60,20191210,190000,247.0000000,247.1900000,246.7600000,246.9000000,3887910
GAZP,60,20191211,110000,246.8400000,248.6900000,246.8400000,247.8000000,3397990
GAZP,60,20191211,120000,247.7800000,248.5900000,247.3800000,247.7600000,4314720
GAZP,60,20191211,130000,247.6400000,248.1200000,247.5000000,247.6700000,1880170
GAZP,60,20191211,140000,247.6400000,247.8500000,247.0300000,247.2300000,3095280
GAZP,60,20191211,150000,247.1800000,247.5800000,247.0000000,247.4600000,2293240
GAZP,60,20191211,160000,247.5300000,247.6000000,247.0600000,247.3100000,1255240
GAZP,60,20191211,170000,247.3000000,247.4700000,246.8600000,247.0600000,4665910
